Cuisine,Meal Name,Ingredient,Ingredient,Quantity (g),Calories,Protein (g),Fat (g),Carb (g)
Persian,Breakfast,Nan-e Barbari,,50,140,4,1,27
Persian,Breakfast,Persian Butter,,10,72,0,8,0
Persian,Breakfast,Honey,,15,46,0,0,12
Persian,Breakfast,Black Tea Leaves,,5,2,0,0,0
Persian,Breakfast,Mast (Yogurt),,50,30,3,1,4
Persian,Breakfast,Fresh Fig,,30,20,0,0,5
Persian,Breakfast,Persian Nuts Mix,,20,120,3,10,5
Persian,Breakfast,Persian Saffron,,1,2,0,0,0
Persian,Breakfast,Chai Sugar,,5,20,0,0,5
Persian,Breakfast,Strawberry,,30,10,0,0,2
Persian,Breakfast,Nan-e Sangak,,50,140,4,1,28
Persian,Breakfast,Butter,,10,72,0,8,0
Persian,Breakfast,Honey,,15,46,0,0,12
Persian,Breakfast,Dried Apricot,,20,48,1,0,11
Persian,Breakfast,Black Tea,,200ml,2,0,0,0
Persian,Breakfast,Almonds,,15,90,3,7,3
Persian,Breakfast,Walnuts,,15,100,2,10,2
Persian,Breakfast,Pistachios,,15,80,3,6,3
Persian,Breakfast,Figs,,20,20,0,0,5
Persian,Breakfast,Mint Leaves,,5,1,0,0,0
Persian,Morning Snack,Dates,,50,140,1,0,37
Persian,Morning Snack,Almonds,,30,160,6,14,6
Persian,Morning Snack,Walnuts,,30,200,5,20,4
Persian,Morning Snack,Pistachios,,30,160,6,13,7
Persian,Morning Snack,Apple,,50,25,0,0,6
Persian,Morning Snack,Carrot,,30,12,0,0,3
Persian,Morning Snack,Cucumber,,50,8,0,0,2
Persian,Morning Snack,Tomato,,50,10,0,0,2
Persian,Morning Snack,Herbal Tea Leaves,,5,2,0,0,0
Persian,Morning Snack,Pomegranate Seeds,,30,15,0,0,4
Persian,Morning Snack,Low-fat Yogurt,,50,30,3,1,4
Persian,Morning Snack,Orange,,50,24,0,0,6
Persian,Morning Snack,Banana,,50,45,0,0,12
Persian,Morning Snack,Grapes,,50,35,0,0,9
Persian,Morning Snack,Dried Fig,,20,48,1,0,11
Persian,Morning Snack,Almond Butter,,15,90,3,8,3
Persian,Morning Snack,Walnut Halves,,15,100,2,10,2
Persian,Morning Snack,Pistachio Kernels,,15,80,3,6,3
Persian,Morning Snack,Herbal Tea,,200ml,2,0,0,0
Persian,Lunch,Kabab Koobideh ,Ground Beef,400,800,80,60,0
Persian,Lunch,Kabab Koobideh,Ground Lamb Fat,50,450,1,50,0
Persian,Lunch,Kabab Koobideh,Onion,200,80,2,0,18
Persian,Lunch,Kabab Koobideh,Salt,5,0,0,0,0
Persian,Lunch,Kabab Koobideh,Black Pepper,1,3,0,0,1
Persian,Lunch,Kabab Koobideh,Saffron,4,2,0,0,0
Persian,Lunch,Kabab Koobideh,Butter,50,360,0,40,0
Persian,Lunch,Kabab Koobideh,Pita Bread,50,140,4,1,27
Persian,Lunch,Kabab Koobideh,Grilled Tomato,100,20,1,0,5
Persian,Lunch,Kabab Koobideh,Grilled Pepper,50,15,0,0,3
Persian,Lunch,Ghorme Sabzi,Beef Stew Meat,200,500,35,40,0
Persian,Lunch,Ghorme Sabzi,Red Kidney Beans,50,110,7,0,20
Persian,Lunch,Ghorme Sabzi,Spinach,50,12,1,0,2
Persian,Lunch,Ghorme Sabzi,Parsley,20,5,0,0,1
Persian,Lunch,Ghorme Sabzi,Cilantro,20,5,0,0,1
Persian,Lunch,Ghorme Sabzi,Leek,30,10,0,0,2
Persian,Lunch,Ghorme Sabzi,Onion,50,20,1,0,5
Persian,Lunch,Ghorme Sabzi,Lemon Juice,10,4,0,0,1
Persian,Lunch,Ghorme Sabzi,Oil,10,90,0,10,0
Persian,Lunch,Ghorme Sabzi,Salt,3,0,0,0,0
Persian,Lunch,Ghorme Sabzi,Black Pepper,1,3,0,0,1
Persian,Lunch,Fesenjan,Chicken,200,330,30,20,0
Persian,Lunch,Fesenjan,Walnuts,50,330,8,30,8
Persian,Lunch,Fesenjan,Pomegranate Molasses,30,60,0,0,15
Persian,Lunch,Fesenjan,Onion,50,20,1,0,5
Persian,Lunch,Fesenjan,Salt,3,0,0,0,0
Persian,Lunch,Fesenjan,Black Pepper,1,3,0,0,1
Persian,Lunch,Fesenjan,Oil,10,90,0,10,0
Persian,Lunch,Fesenjan,Water,100,0,0,0,0
Persian,Lunch,Fesenjan,Basmati Rice,150,540,10,2,120
Persian,Lunch,Fesenjan,Butter,20,144,0,16,0
Persian,Lunch,Zereshk Polo,Chicken,150,250,30,10,0
Persian,Lunch,Zereshk Polo,Basmati Rice,150,540,10,2,120
Persian,Lunch,Zereshk Polo,Zereshk,30,90,1,0,20
Persian,Lunch,Zereshk Polo,Butter,20,144,0,16,0
